"gold\pred","ocr_text","scene_description","object_identify","color_recognition","money_recognition","translation","environment_description","navigation","medication_check","emergency","need_human","fallback"
"ocr_text","10","0","0","0","0","0","0","0","0","0","0","0"
"scene_description","0","8","0","0","0","0","0","2","0","0","0","0"
"object_identify","0","0","10","0","0","0","0","0","0","0","0","0"
"color_recognition","0","0","0","10","0","0","0","0","0","0","0","0"
"money_recognition","0","0","0","0","10","0","0","0","0","0","0","0"
"translation","0","0","0","0","0","9","0","0","0","0","0","1"
"environment_description","0","0","0","0","0","0","7","3","0","0","0","0"
"navigation","0","0","0","0","0","0","0","10","0","0","0","0"
"medication_check","0","0","0","0","0","0","0","0","10","0","0","0"
"emergency","0","0","0","0","0","0","0","0","0","10","0","0"
"need_human","0","0","0","0","0","0","0","0","0","0","10","0"
"fallback","0","0","0","0","0","0","0","0","0","0","0","10"
