"class","precision","recall","tp","fp","fn","support"
"ocr_text","1.000000","1.000000","10","0","0","10"
"scene_description","1.000000","0.800000","8","0","2","10"
"object_identify","1.000000","1.000000","10","0","0","10"
"color_recognition","1.000000","1.000000","10","0","0","10"
"money_recognition","1.000000","1.000000","10","0","0","10"
"translation","1.000000","0.900000","9","0","1","10"
"environment_description","1.000000","0.700000","7","0","3","10"
"navigation","0.666667","1.000000","10","5","0","10"
"medication_check","1.000000","1.000000","10","0","0","10"
"emergency","1.000000","1.000000","10","0","0","10"
"need_human","1.000000","1.000000","10","0","0","10"
"fallback","0.909091","1.000000","10","1","0","10"
